,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
0,Burgazada,Adalar,0,40.8821244,29.064211600000004
1,Heybeliada,Adalar,0,40.87625945,29.091027262109566
2,Kınalıada,Adalar,0,40.90845185,29.04842005624402
3,Maden,Adalar,0,40.872361299999994,29.1304477
4,Nizam,Adalar,0,40.8576756,29.118956800000003
5,Anadolu,Arnavutköy,0,41.18548975,28.749133060694145
6,Arnavutköy İmrahor,Arnavutköy,0,41.2153926,28.747157899999998
7,Arnavutköy İslambey,Arnavutköy,0,41.19691065,28.747591881433877
8,Arnavutköy Merkez,Arnavutköy,0,41.172636700000005,28.73830789866252
9,Arnavutköy Yavuzselim,Arnavutköy,0,41.2104281,28.73413072875147
10,Atatürk,Arnavutköy,0,41.1918394,28.76126457961757
12,Boğazköy Atatürk,Arnavutköy,0,41.181000000000004,28.773000000000003
15,Bolluca,Arnavutköy,0,41.2222213,28.778505600000003
16,Deliklikaya,Arnavutköy,0,41.1115232,28.654529200000002
17,Dursunköy,Arnavutköy,0,41.2041032,28.6362006
20,Hastane,Arnavutköy,0,41.153773,28.6194517
22,Sazlıbosna,Arnavutköy,0,41.1557323,28.673678000000002
23,Nakkaş,Arnavutköy,0,41.175782700000006,28.5572383
24,Karlıbayır,Arnavutköy,0,41.17949175,28.717216368906037
25,Haraççı,Arnavutköy,0,41.18662165,28.70052161489275
26,Hicret,Arnavutköy,0,41.20542655,28.756316226151647
27,Mavigöl,Arnavutköy,0,41.20858165,28.761456422546647
28,Nenehatun,Arnavutköy,0,41.1970244,28.733965962126433
29,Ömerli,Arnavutköy,0,41.1161343,28.638000800000004
30,Taşoluk,Arnavutköy,0,41.210753000000004,28.71234310689485
31,Taşoluk Adnan Menderes,Arnavutköy,0,41.21852465,28.70777038444624
36,Yeşilbayır,Arnavutköy,0,41.1302989,28.6085037
37,Aşıkveysel,Ataşehir,0,41.004572499999995,29.091795
38,Atatürk,Ataşehir,0,40.99079445,29.12665072794175
39,Barbaros,Ataşehir,0,40.9899332,29.099011100000002
40,Esatpaşa,Ataşehir,0,41.0075308,29.085957
41,Ferhatpaşa,Ataşehir,0,40.98602155,29.18152690168039
42,Fetih,Ataşehir,0,41.002829600000005,29.075897499999996
43,İçerenköy,Ataşehir,0,40.9646103,29.1063594
44,İnönü,Ataşehir,0,40.975770399999995,29.1381218
45,Kayışdağı,Ataşehir,0,40.9848597,29.1376037
46,Küçükbakkalköy,Ataşehir,0,40.9787462,29.117752199999998
47,Mevlana,Ataşehir,0,40.99078285,29.15356368874022
48,Mimarsinan,Ataşehir,0,41.32790655,36.27418942489061
49,Mustafa Kemal,Ataşehir,0,41.001533,29.095235600000002
50,Örnek,Ataşehir,0,40.9967037,29.080155100000002
51,Yeniçamlıca,Ataşehir,0,40.99088820000001,29.162497600000002
52,Yenişehir,Ataşehir,0,40.994066499999995,29.1433804
53,Yenisahra,Ataşehir,0,40.9849484,29.092184399999997
54,Ambarlı,Avcılar,0,40.9760031,28.7115604
