,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
0,Burgazada,Adalar,0,40.8821244,29.0642116
1,Heybeliada,Adalar,0,40.87625945,29.091027262109563
2,Kınalıada,Adalar,0,40.90845185,29.04842005624402
3,Maden,Adalar,0,40.8723613,29.1304477
4,Nizam,Adalar,0,40.8576756,29.1189568
5,Anadolu,Arnavutköy,0,41.18548975,28.749133060694145
6,Arnavutköy İmrahor,Arnavutköy,0,41.2153926,28.7471579
7,Arnavutköy İslambey,Arnavutköy,0,41.19691065,28.74759188143388
8,Arnavutköy Merkez,Arnavutköy,0,41.1726367,28.73830789866252
9,Arnavutköy Yavuzselim,Arnavutköy,0,41.2104281,28.734130728751467
10,Atatürk,Arnavutköy,0,41.1918394,28.761264579617574
11,Bahşayış,Arnavutköy,0,0.0,0.0
12,Boğazköy Atatürk,Arnavutköy,0,41.181,28.773
13,Boğazköy İstiklal,Arnavutköy,0,41.181,28.773
14,Boğazköy Merkez,Arnavutköy,0,41.181,28.773
15,Bolluca,Arnavutköy,0,41.2222213,28.7785056
16,Deliklikaya,Arnavutköy,0,41.1115232,28.6545292
17,Dursunköy,Arnavutköy,0,41.2041032,28.6362006
18,Durusu Cami,Arnavutköy,0,0.0,0.0
19,Durusu Zafer,Arnavutköy,0,0.0,0.0
20,Hastane,Arnavutköy,0,41.153773,28.6194517
21,İstasyon,Arnavutköy,0,0.0,0.0
22,Sazlıbosna,Arnavutköy,0,41.1557323,28.673678
23,Nakkaş,Arnavutköy,0,41.1757827,28.5572383
24,Karlıbayır,Arnavutköy,0,41.17949175,28.717216368906033
25,Haraççı,Arnavutköy,0,41.18662165,28.70052161489275
26,Hicret,Arnavutköy,0,41.20542655,28.75631622615165
27,Mavigöl,Arnavutköy,0,41.20858165,28.76145642254665
28,Nenehatun,Arnavutköy,0,41.197024400000004,28.733965962126433
29,Ömerli,Arnavutköy,0,41.1161343,28.6380008
30,Taşoluk,Arnavutköy,0,41.210753,28.712343106894846
31,Taşoluk Adnan Menderes,Arnavutköy,0,41.21852465,28.707770384446242
32,Taşoluk Çilingir,Arnavutköy,0,0.0,0.0
33,Taşoluk Fatih,Arnavutköy,0,41.210753,28.712343106894846
34,Taşoluk M. Fevzi Çakmak,Arnavutköy,0,41.210753,28.712343106894846
35,Taşoluk Mehmet Akif Ersoy,Arnavutköy,0,41.210753,28.712343106894846
36,Yeşilbayır,Arnavutköy,0,41.1302989,28.6085037
37,Aşıkveysel,Ataşehir,0,41.0045725,29.091795
38,Atatürk,Ataşehir,0,40.990794449999996,29.12665072794175
39,Barbaros,Ataşehir,0,40.9899332,29.0990111
40,Esatpaşa,Ataşehir,0,41.0075308,29.085957
41,Ferhatpaşa,Ataşehir,0,40.986021550000004,29.181526901680385
42,Fetih,Ataşehir,0,41.0028296,29.0758975
43,İçerenköy,Ataşehir,0,40.9646103,29.1063594
44,İnönü,Ataşehir,0,40.9757704,29.1381218
45,Kayışdağı,Ataşehir,0,40.9848597,29.1376037
46,Küçükbakkalköy,Ataşehir,0,40.9787462,29.1177522
47,Mevlana,Ataşehir,0,40.99078285,29.15356368874022
48,Mimarsinan,Ataşehir,0,41.327906549999994,36.27418942489061
49,Mustafa Kemal,Ataşehir,0,41.001533,29.0952356
50,Örnek,Ataşehir,0,40.9967037,29.0801551
51,Yeniçamlıca,Ataşehir,0,40.9908882,29.1624976
52,Yenişehir,Ataşehir,0,40.9940665,29.1433804
53,Yenisahra,Ataşehir,0,40.9849484,29.0921844
54,Ambarlı,Avcılar,0,40.9760031,28.7115604
55,Cihangir,Avcılar,0,40.9904773,28.7006132
56,Denizköşkler,Avcılar,0,40.9747031,28.7369146
57,Firuzköy,Avcılar,0,41.0257539,28.7189441
58,Gümüşpala,Avcılar,0,40.9811815,28.7405634
59,Merkez,Avcılar,0,40.9819772,28.7217772
60,Mustafa Kemal Paşa,Avcılar,0,41.001862,28.7043146
61,Tahtakale,Avcılar,0,41.0608474,28.7241868
62,Üniversite,Avcılar,0,40.9918944,28.7232855
63,Yeşilkent,Avcılar,0,41.0412233,28.6996331
64,Bağlar,Bağcılar,0,41.0262155,28.8216534
65,Barbaros,Bağcılar,0,41.0234565,28.8364509
66,Çınar,Bağcılar,0,41.0681583,28.8276044
67,Demirkapı,Bağcılar,0,41.0486784,28.8376854
68,Evren,Bağcılar,0,41.0370015,28.8161431
69,Fatih,Bağcılar,0,41.0426588,28.8438777
70,Fevzi Çakmak,Bağcılar,0,41.0457899,28.8556182
71,Göztepe,Bağcılar,0,41.0552736,28.8533755
72,Güneşli,Bağcılar,0,41.0377883,28.8284955
73,Hürriyet,Bağcılar,0,41.0266163,28.8322187
74,İnönü,Bağcılar,0,41.0300668,28.8522334
75,Kâzım Karabekir,Bağcılar,0,41.026158800000005,28.84502256277683
76,Kemalpaşa,Bağcılar,0,41.0511389,28.8514469
77,Kirazlı,Bağcılar,0,41.03199,28.8429812
78,Mahmutbey,Bağcılar,0,41.0552535,28.8304839
79,Merkez,Bağcılar,0,41.033158,28.860756
80,Sancaktepe,Bağcılar,0,41.0385263,28.8554378
81,Yavuzselim,Bağcılar,0,41.0376463,28.8497163
82,Yenigün,Bağcılar,0,41.0222176,28.8596023
83,Yenimahalle,Bağcılar,0,41.0413498,28.8439055
84,Yıldıztepe,Bağcılar,0,41.0194161,28.8577509
85,Yüzyıl,Bağcılar,0,41.0601896,28.8546869
86,Bahçelievler,Bahçelievler,0,40.9954814,28.8633136
87,Cumhuriyet,Bahçelievler,0,37.3069461,27.7917908
88,Çobançeşme,Bahçelievler,0,40.99608885000001,28.827194850310207
89,Fevzi Çakmak,Bahçelievler,0,40.999235,28.8326231
90,Hürriyet,Bahçelievler,0,40.9995732,28.8405225
91,Kocasinan,Bahçelievler,0,41.0173892,28.8422263
92,Siyavuşpaşa,Bahçelievler,0,41.0021077,28.8543254
93,Soğanlı,Bahçelievler,0,41.0108401,28.8545118
94,Şirinevler,Bahçelievler,0,40.9924171,28.8457514
95,Yenibosna,Bahçelievler,0,41.0014887,28.8229619
96,Zafer,Bahçelievler,0,41.0051571,28.8359793
97,Ataköy 1. kısım,Bakırköy,0,40.9802282,28.8562265
98,Ataköy 2-5-6. kısım,Bakırköy,0,40.9802282,28.8562265
99,Ataköy 3-4-11. kısım,Bakırköy,0,40.9802282,28.8562265
100,Ataköy 7-8-9-10. kısım,Bakırköy,0,40.9802282,28.8562265
101,Basınköy,Bakırköy,0,40.9787732,28.7831158
102,Cevizlik,Bakırköy,0,40.978742,28.8771838
103,Kartaltepe,Bakırköy,0,40.9827173,28.8730183
