,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Burgazada,40.8821244,29.064211600000004,Sait Faik Abasıyanık Müzesi,40.88101481182768,29.067458044937005,History Museum
1,Burgazada,40.8821244,29.064211600000004,Adalar Cemevi Çay Bahçesi,40.87919514138905,29.0681560491669,Tea Room
2,Burgazada,40.8821244,29.064211600000004,Burgazada Sahil,40.881170943933235,29.069600121038913,Beach
3,Burgazada,40.8821244,29.064211600000004,Sinem Dondurma,40.880983671896146,29.069779190325015,Ice Cream Shop
4,Burgazada,40.8821244,29.064211600000004,Burgazada Meydan,40.88109858614063,29.06957043734856,Plaza
5,Burgazada,40.8821244,29.064211600000004,Burgazada Çarşı,40.881174623448665,29.069515404459583,Sculpture Garden
6,Burgazada,40.8821244,29.064211600000004,Teras Cafe Burgazada,40.88291577887422,29.068756888310215,Café
7,Burgazada,40.8821244,29.064211600000004,Yeni İdeal Restaurant,40.879022828490235,29.06812959168743,Seafood Restaurant
8,Burgazada,40.8821244,29.064211600000004,Four Letter Word,40.880572910282076,29.068838395018847,Coffee Shop
9,Burgazada,40.8821244,29.064211600000004,Ergün Pastanesi,40.88122457510708,29.069437419926643,Pastry Shop
10,Burgazada,40.8821244,29.064211600000004,Sahil Restaurant,40.88088349361966,29.06976034376819,Seafood Restaurant
11,Burgazada,40.8821244,29.064211600000004,Villa Andrea,40.88021317284338,29.06660324027747,Hotel
12,Burgazada,40.8821244,29.064211600000004,Burgazada Dernek Çay Bahçesi,40.884071594472346,29.059036866473118,Tea Room
13,Burgazada,40.8821244,29.064211600000004,Barba Yani,40.88073447806062,29.069744729423626,Seafood Restaurant
14,Burgazada,40.8821244,29.064211600000004,Anjelik,40.8810261439383,29.069388032122,Fast Food Restaurant
15,Burgazada,40.8821244,29.064211600000004,Barba Yani,40.881355,29.069309,Seafood Restaurant
16,Burgazada,40.8821244,29.064211600000004,Nadir Çay Bahçesi,40.88284417351484,29.068796278113435,Café
17,Burgazada,40.8821244,29.064211600000004,Cennet Bahçesi/ Burgaz Ada,40.88449975958703,29.063331128504856,Garden
18,Burgazada,40.8821244,29.064211600000004,Antigoni Restaurant,40.88083199460366,29.069752208020574,Seafood Restaurant
19,Burgazada,40.8821244,29.064211600000004,Peyote Cennet Bahçesi,40.88449845812892,29.063283347613975,Beer Garden
20,Burgazada,40.8821244,29.064211600000004,Yasemin Restaurant,40.88238392357775,29.06876417028748,Seafood Restaurant
21,Burgazada,40.8821244,29.064211600000004,Baş Köşe,40.88030198234983,29.069598962477446,Café
22,Burgazada,40.8821244,29.064211600000004,fincan restaurant,40.88080266260771,29.069751215914373,Restaurant
23,Burgazada,40.8821244,29.064211600000004,Cafe Kardesler,40.88112435971059,29.06950868953546,Café
24,Burgazada,40.8821244,29.064211600000004,Adalar (Burgazada) Öğretmenevi,40.884674790916854,29.065078003170132,Boarding House
25,Burgazada,40.8821244,29.064211600000004,Çümen Cafe,40.880631724223406,29.069685363828448,Café
26,Burgazada,40.8821244,29.064211600000004,Sahil Balık,40.88095130693564,29.069681600234183,Seafood Restaurant
27,Burgazada,40.8821244,29.064211600000004,Kardeşler Büfe,40.88112063737438,29.069504733617716,Buffet
28,Burgazada,40.8821244,29.064211600000004,Burgazada Halı Sahası,40.88366924635417,29.063204526901245,Soccer Field
29,Burgazada,40.8821244,29.064211600000004,Fincan Cafe,40.88078362955471,29.069740416982057,Seafood Restaurant
30,Burgazada,40.8821244,29.064211600000004,Burgazada Cuma Pazarı,40.880438169675685,29.06572569439006,Market
31,Burgazada,40.8821244,29.064211600000004,fincan restaurant burgazada,40.88078,29.069653,Mediterranean Restaurant
32,Burgazada,40.8821244,29.064211600000004,Çardak Restaurant,40.88046578895989,29.06968194118197,Seafood Restaurant
33,Burgazada,40.8821244,29.064211600000004,Burgazada Öğretmen Evi,40.884679643907894,29.06507924119772,Cafeteria
34,Burgazada,40.8821244,29.064211600000004,Burgazada Ormanı,40.879204,29.064873,Forest
35,Burgazada,40.8821244,29.064211600000004,Buragazada Mimi Koy,40.87998364953896,29.067950641000433,Harbor / Marina
36,Burgazada,40.8821244,29.064211600000004,Burgazada Ekmek Fırını,40.87957498431486,29.068024501164686,Bakery
37,Burgazada,40.8821244,29.064211600000004,Burgaz Cafe,40.88111523206125,29.06968019218039,Café
38,Burgazada,40.8821244,29.064211600000004,Burgaz's Park,40.881523,29.06944,Playground
39,Burgazada,40.8821244,29.064211600000004,Burgazada İDO,40.88154489495899,29.06974358760952,Boat or Ferry
40,Burgazada,40.8821244,29.064211600000004,"Keyif, Burgazada",40.880750190725024,29.069518741420882,Seafood Restaurant
41,Burgazada,40.8821244,29.064211600000004,Burgazada - Kabataş Deniz Otobüsü,40.88248720633974,29.069802815858818,Boat or Ferry
42,Burgazada,40.8821244,29.064211600000004,Burgazada Gazete Bayii,40.88102169288871,29.06970015727439,Bookstore
43,Burgazada,40.8821244,29.064211600000004,Burgazada Bayrak Tepe,40.88103566049977,29.069763045469372,Campground
44,Burgazada,40.8821244,29.064211600000004,Büyük Ada Mangal Keyfi,40.88148028581364,29.069893719567187,BBQ Joint
45,Burgazada,40.8821244,29.064211600000004,Burgaz deniz otobusu iskelesi,40.880730028211765,29.069706230609302,Boat or Ferry
46,Burgazada,40.8821244,29.064211600000004,Pyrgos Otel,40.884288,29.069368,Hotel
47,Heybeliada,40.87625945,29.091027262109566,Merit Halki Palace Hotel,40.87880172757172,29.09097430805375,Hotel
48,Heybeliada,40.87625945,29.091027262109566,İnönü Evi Müzesi,40.87825141696279,29.093646818649535,History Museum
49,Heybeliada,40.87625945,29.091027262109566,L'isola Guesthouse,40.877038047389995,29.09613572865888,Bed & Breakfast
50,Heybeliada,40.87625945,29.091027262109566,Huseyin Rahmi Gurpinar Muzesi,40.877223979069434,29.092228483907004,Museum
51,Heybeliada,40.87625945,29.091027262109566,heybeliada tenis kortu,40.87833710038309,29.09122050280752,Tennis Court
52,Heybeliada,40.87625945,29.091027262109566,heybeliada cicekli orman,40.878291118491994,29.090232060520865,Mountain
53,Heybeliada,40.87625945,29.091027262109566,Heybeliada  Bisiklet Turu,40.878425908776535,29.091640872866968,Bike Trail
54,Heybeliada,40.87625945,29.091027262109566,Heybeliada'nın en tepesi,40.87543008502771,29.09403294809154,Mountain
55,Heybeliada,40.87625945,29.091027262109566,Aqua Green Beach,40.88049760130214,29.090353846549988,Beach
56,Heybeliada,40.87625945,29.091027262109566,Bayrak Tepesi,40.8745873220112,29.093685899816865,Scenic Lookout
57,Heybeliada,40.87625945,29.091027262109566,Merit Halki Palace Havuzu,40.87890886989283,29.091001858028104,Pool
58,Heybeliada,40.87625945,29.091027262109566,Asaf Beach Club,40.879211086697225,29.088317014171135,Surf Spot
59,Heybeliada,40.87625945,29.091027262109566,"Büyükada Açıkları (2 Mil KD, Yalova Hatti)",40.87419159806565,29.088505111451987,Boat or Ferry
60,Heybeliada,40.87625945,29.091027262109566,Merit Halki Palace Hotel Nargile Cafe,40.879412783810885,29.091095527700848,Café
61,Heybeliada,40.87625945,29.091027262109566,Heybeliada Keyif Cafe,40.87849,29.094755,Café
62,Heybeliada,40.87625945,29.091027262109566,Heybeliada Lisan Okulu,40.875216706853166,29.08639184446625,University
63,Heybeliada,40.87625945,29.091027262109566,Engin Deniz,40.880158428646965,29.092049326212706,Surf Spot
